run_seed,variant_name,layer_index,probe_name,probe_family,group_type,group_name,example_count,test_accuracy,test_accuracy_polarity_invariant
7,pretrained,0,query_only,query_only,query_direction_type,hidden_positive,72,0.4444444444444444,0.5555555555555556
7,pretrained,0,query_only,query_only,query_direction_type,matched_negative,72,0.5555555555555556,0.5555555555555556
7,pretrained,0,query_only,query_only,query_distance_type,visible_5,48,0.5,0.5
7,pretrained,0,query_only,query_only,query_distance_type,visible_6,38,0.5,0.5
7,pretrained,0,query_only,query_only,query_distance_type,visible_7,58,0.5,0.5
7,pretrained,0,query_only,query_only,query_type,hidden_positive_visible_5,24,0.4166666666666667,0.5833333333333333
7,pretrained,0,query_only,query_only,query_type,hidden_positive_visible_6,19,0.47368421052631576,0.5263157894736843
7,pretrained,0,query_only,query_only,query_type,hidden_positive_visible_7,29,0.4482758620689655,0.5517241379310345
7,pretrained,0,query_only,query_only,query_type,matched_negative_visible_5,24,0.5833333333333334,0.5833333333333334
7,pretrained,0,query_only,query_only,query_type,matched_negative_visible_6,19,0.5263157894736842,0.5263157894736842
7,pretrained,0,query_only,query_only,query_type,matched_negative_visible_7,29,0.5517241379310345,0.5517241379310345
7,pretrained,0,query_only,query_only,relation_id,masked_balanced_triplet,144,0.5,0.5
7,pretrained,0,query_only,query_only,template_family_id,balanced_align,66,0.5,0.5
7,pretrained,0,query_only,query_only,template_family_id,balanced_sync,78,0.5,0.5
7,pretrained,0,query_only,query_only,template_id,balanced_triplet_align_forward,38,0.5,0.5
7,pretrained,0,query_only,query_only,template_id,balanced_triplet_align_reverse,28,0.5,0.5
7,pretrained,0,query_only,query_only,template_id,balanced_triplet_sync_forward,38,0.5,0.5
7,pretrained,0,query_only,query_only,template_id,balanced_triplet_sync_reverse,40,0.5,0.5
7,pretrained,0,exact_r1,exact,query_direction_type,hidden_positive,72,0.5138888888888888,0.5138888888888888
7,pretrained,0,exact_r1,exact,query_direction_type,matched_negative,72,0.5277777777777778,0.5277777777777778
7,pretrained,0,exact_r1,exact,query_distance_type,visible_5,48,0.6041666666666666,0.6041666666666666
7,pretrained,0,exact_r1,exact,query_distance_type,visible_6,38,0.34210526315789475,0.6578947368421053
7,pretrained,0,exact_r1,exact,query_distance_type,visible_7,58,0.5689655172413793,0.5689655172413793
7,pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_5,24,0.5833333333333334,0.5833333333333334
7,pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_6,19,0.2631578947368421,0.736842105263158
7,pretrained,0,exact_r1,exact,query_type,hidden_positive_visible_7,29,0.6206896551724138,0.6206896551724138
7,pretrained,0,exact_r1,exact,query_type,matched_negative_visible_5,24,0.625,0.625
7,pretrained,0,exact_r1,exact,query_type,matched_negative_visible_6,19,0.42105263157894735,0.5789473684210527
7,pretrained,0,exact_r1,exact,query_type,matched_negative_visible_7,29,0.5172413793103449,0.5172413793103449
7,pretrained,0,exact_r1,exact,relation_id,masked_balanced_triplet,144,0.5208333333333334,0.5208333333333334
7,pretrained,0,exact_r1,exact,template_family_id,balanced_align,66,0.5454545454545454,0.5454545454545454
7,pretrained,0,exact_r1,exact,template_family_id,balanced_sync,78,0.5,0.5
7,pretrained,0,exact_r1,exact,template_id,balanced_triplet_align_forward,38,0.5,0.5
7,pretrained,0,exact_r1,exact,template_id,balanced_triplet_align_reverse,28,0.6071428571428571,0.6071428571428571
7,pretrained,0,exact_r1,exact,template_id,balanced_triplet_sync_forward,38,0.42105263157894735,0.5789473684210527
7,pretrained,0,exact_r1,exact,template_id,balanced_triplet_sync_reverse,40,0.575,0.575
7,pretrained,0,exact_r2,exact,query_direction_type,hidden_positive,72,0.20833333333333334,0.7916666666666666
7,pretrained,0,exact_r2,exact,query_direction_type,matched_negative,72,0.9027777777777778,0.9027777777777778
7,pretrained,0,exact_r2,exact,query_distance_type,visible_5,48,0.625,0.625
7,pretrained,0,exact_r2,exact,query_distance_type,visible_6,38,0.5263157894736842,0.5263157894736842
7,pretrained,0,exact_r2,exact,query_distance_type,visible_7,58,0.5172413793103449,0.5172413793103449
